,filepath,label,tag
0,/content/drive/MyDrive/data/ffhq/fake/seed106518-0.png,1,FFHQ_StyleGAN3XL
1,/content/drive/MyDrive/data/ffhq/fake/seed106518-1.png,1,FFHQ_StyleGAN3XL
2,/content/drive/MyDrive/data/ffhq/fake/seed106518-2.png,1,FFHQ_StyleGAN3XL
3,/content/drive/MyDrive/data/ffhq/fake/seed106518-3.png,1,FFHQ_StyleGAN3XL
4,/content/drive/MyDrive/data/ffhq/fake/seed106519-0.png,1,FFHQ_StyleGAN3XL
5,/content/drive/MyDrive/data/ffhq/fake/seed106519-1.png,1,FFHQ_StyleGAN3XL
6,/content/drive/MyDrive/data/ffhq/fake/seed106519-2.png,1,FFHQ_StyleGAN3XL
7,/content/drive/MyDrive/data/ffhq/fake/seed106519-3.png,1,FFHQ_StyleGAN3XL
8,/content/drive/MyDrive/data/ffhq/fake/seed106520-0.png,1,FFHQ_StyleGAN3XL
9,/content/drive/MyDrive/data/ffhq/fake/seed106520-1.png,1,FFHQ_StyleGAN3XL
10,/content/drive/MyDrive/data/ffhq/fake/seed106520-2.png,1,FFHQ_StyleGAN3XL
11,/content/drive/MyDrive/data/ffhq/fake/seed106520-3.png,1,FFHQ_StyleGAN3XL
12,/content/drive/MyDrive/data/ffhq/fake/seed106521-0.png,1,FFHQ_StyleGAN3XL
13,/content/drive/MyDrive/data/ffhq/fake/seed106521-1.png,1,FFHQ_StyleGAN3XL
14,/content/drive/MyDrive/data/ffhq/fake/seed106521-2.png,1,FFHQ_StyleGAN3XL
15,/content/drive/MyDrive/data/ffhq/fake/seed106521-3.png,1,FFHQ_StyleGAN3XL
16,/content/drive/MyDrive/data/ffhq/fake/seed106522-0.png,1,FFHQ_StyleGAN3XL
17,/content/drive/MyDrive/data/ffhq/fake/seed106522-1.png,1,FFHQ_StyleGAN3XL
18,/content/drive/MyDrive/data/ffhq/fake/seed106522-2.png,1,FFHQ_StyleGAN3XL
19,/content/drive/MyDrive/data/ffhq/fake/seed106522-3.png,1,FFHQ_StyleGAN3XL
20,/content/drive/MyDrive/data/ffhq/fake/seed106523-0.png,1,FFHQ_StyleGAN3XL
21,/content/drive/MyDrive/data/ffhq/fake/seed106523-1.png,1,FFHQ_StyleGAN3XL
22,/content/drive/MyDrive/data/ffhq/fake/seed106523-2.png,1,FFHQ_StyleGAN3XL
23,/content/drive/MyDrive/data/ffhq/fake/seed106523-3.png,1,FFHQ_StyleGAN3XL
24,/content/drive/MyDrive/data/ffhq/fake/seed106524-0.png,1,FFHQ_StyleGAN3XL
25,/content/drive/MyDrive/data/ffhq/fake/seed106524-1.png,1,FFHQ_StyleGAN3XL
26,/content/drive/MyDrive/data/ffhq/fake/seed106524-2.png,1,FFHQ_StyleGAN3XL
27,/content/drive/MyDrive/data/ffhq/fake/seed106524-3.png,1,FFHQ_StyleGAN3XL
28,/content/drive/MyDrive/data/ffhq/fake/seed106525-0.png,1,FFHQ_StyleGAN3XL
29,/content/drive/MyDrive/data/ffhq/fake/seed106525-1.png,1,FFHQ_StyleGAN3XL
30,/content/drive/MyDrive/data/ffhq/fake/seed106525-2.png,1,FFHQ_StyleGAN3XL
31,/content/drive/MyDrive/data/ffhq/fake/seed106525-3.png,1,FFHQ_StyleGAN3XL
32,/content/drive/MyDrive/data/ffhq/fake/seed106526-0.png,1,FFHQ_StyleGAN3XL
33,/content/drive/MyDrive/data/ffhq/fake/seed106526-1.png,1,FFHQ_StyleGAN3XL
34,/content/drive/MyDrive/data/ffhq/fake/seed106526-2.png,1,FFHQ_StyleGAN3XL
35,/content/drive/MyDrive/data/ffhq/fake/seed106526-3.png,1,FFHQ_StyleGAN3XL
36,/content/drive/MyDrive/data/ffhq/fake/seed106527-0.png,1,FFHQ_StyleGAN3XL
37,/content/drive/MyDrive/data/ffhq/fake/seed106527-1.png,1,FFHQ_StyleGAN3XL
38,/content/drive/MyDrive/data/ffhq/fake/seed106527-2.png,1,FFHQ_StyleGAN3XL
39,/content/drive/MyDrive/data/ffhq/fake/seed106527-3.png,1,FFHQ_StyleGAN3XL
40,/content/drive/MyDrive/data/ffhq/fake/seed106528-0.png,1,FFHQ_StyleGAN3XL
41,/content/drive/MyDrive/data/ffhq/fake/seed106528-1.png,1,FFHQ_StyleGAN3XL
42,/content/drive/MyDrive/data/ffhq/fake/seed106528-2.png,1,FFHQ_StyleGAN3XL
